id,uniqueId,language,discipline,type,difficulty,question,optionA,optionB,optionC,optionD,correct,sourceUrl,sourceExcerpt
019ce94a-4255-46e7-96a5-3c5ba3a1b402,019ce94a-4255-46e7-96a5-3c5ba3a1b402,English,Animation,Multiple Choice,Intermediate,Your character's hand is clipping through their weapon during certain animations. What's a good solution using Control Rig?,Adjust the Skin Weights,Add a control to the hand and adjust its position to avoid clipping.,Modify the animation in an external DCC,Disable collisions on the weapon,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/control-rig-in-unreal-engine,"Control Rigs enable you to animate characters and objects in Unreal Editor directly. You can create and rig custom controls on a character, animate it in Sequencer, and use a variety of other animation tools to aid your animating process."
01a455d1-8ccf-47ca-9574-d0268a78f413,01a455d1-8ccf-47ca-9574-d0268a78f413,English,Look Dev,Multiple Choice,Medium,You are designing a material for a game asset that requires a base metallic layer and a dirt layer that can be enabled or disabled at runtime. Which material setup provides the most efficient and flexible solution?,Use a single material with a complex texture mask,Use two separate materials and switch between them,Use Material Layers to blend the metal and dirt materials,Create a dynamic material instance with parameters for both,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/layering-materials-in-unreal-engine,Unreal Engine provides two main ways to layer your Materials and create complex blends between unique surface types.
01e922e9-b8ba-448d-987c-3ea24032259d,01e922e9-b8ba-448d-987c-3ea24032259d,English,Look Dev,True/False,Hard,"Bright white albedo values in materials increase path tracing render times, especially in enclosed spaces, because the path tracer simulates numerous light bounces before terminating paths.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/path-tracer-in-unreal-engine,"Materials which have an albedo value close to 1.0, such as a bright white color, cause rendering of frames to take longer than needed because the Path Tracer needs to simulate the path of lights with many bounces. Interior scenes are especially susceptible to this because light rays can take longer to escape the environment before being terminated."
01e94eb4-969c-4462-8b49-c63470141698,01e94eb4-969c-4462-8b49-c63470141698,English,Animation,Multiple Choice,Beginner,What is the primary function of an Animation Blueprint?,Create static meshes.,Control the animation of a Skeletal Mesh.,Design UI elements.,Manage level streaming.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-blueprints-in-unreal-engine,Animation Blueprints are specialized Blueprints that control the animation of a Skeletal Mesh during simulation or gameplay.
01ec273f-f301-4efe-a4d2-623bd1937c4c,01ec273f-f301-4efe-a4d2-623bd1937c4c,English,Look Dev,True/False,Easy,"In Unreal Engine, setting a material's Opacity to 1 makes the surface fully transparent, allowing all light to pass through it.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/transparency-and-reflectance-in-unreal-engine,"In Unreal Engine, transparency works by assigning each pixel an Opacity value between 0 and 1. When Opacity is 1, the surface is fully opaque, meaning it blocks 100% of the light that hits it. When Opacity is 0, the surface allows all light to pass through."
01efc8ba-e956-4f49-beb5-908150222974,01efc8ba-e956-4f49-beb5-908150222974,English,Look Dev,Multiple Choice,Medium,Your scene uses high-resolution landscape textures. What can reduce memory usage without sacrificing detail?,Enable Virtual Texturing in the project settings,Use only power-of-two texture resolutions,Compress all textures to DXT1 format,Disable mipmaps on landscape textures,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/virtual-texturing-in-unreal-engine,Virtual Texture support for your project enables you to create and use large-sized textures for a lower—and more consistent—memory footprint at runtime.
01fc25d1-6d32-42ff-bc97-a3068257c493,01fc25d1-6d32-42ff-bc97-a3068257c493,English,Game Dev,True/False,Expert,"In Unreal Engine 5, can Blueprints implement Interfaces?",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/blueprint-interface-in-unreal-engine,Unreal Interfaces. Create and implement Unreal Interfaces in C++ and Blueprints.
0227fb46-6a0a-4b14-a7ac-922ab5687e19,0227fb46-6a0a-4b14-a7ac-922ab5687e19,English,Worldbuilding,True/False,Easy,"When using Level Instances, changes made to one instance are automatically repeated across all instances when saved.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/level-instancing-in-unreal-engine,Changes made to one instance are repeated across all instances when saved.
02c16215-a104-4287-b5cf-105325b39738,02c16215-a104-4287-b5cf-105325b39738,English,Look Dev,True/False,Hard,"Lumen Reflections, when used with Hardware Ray Tracing, always utilize the Surface Cache for lighting, regardless of quality settings.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/lumen-global-illumination-and-reflections-in-unreal-engine,"Controls how Lumen Reflection rays are lit when Lumen is using Hardware Ray Tracing. By default, Lumen uses Surface Cache for best performance, but can be set to Hit Lighting for Reflections for higher quality."
02fd3ea7-7cfe-4040-8d55-b358788f809c,02fd3ea7-7cfe-4040-8d55-b358788f809c,English,Tech Art,Multiple Choice,Expert,Profiling shows high <b>GPU</b> cost in a specific area. What's the next step?,Use the <b>GPU</b> Visualizer to isolate expensive shaders.,Reduce the global illumination quality.,Lower the screen percentage.,Force <b>CPU</b> rendering.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/unreal-insights,The GPU Visualizer in Unreal Insights helps identify expensive shaders and areas of high GPU cost.
0338329f-2d49-4149-84b0-fbdccc18479b,0338329f-2d49-4149-84b0-fbdccc18479b,English,VFX,Multiple Choice,Medium,"To create a disintegration effect in Niagara where a character turns into dust particles, which module is MOST appropriate for spawning particles directly from the surface of a skeletal mesh?",Use the 'Spawn Per Unit' module.,Use the 'Skeletal Mesh Location' module to spawn particles from the surface of the skeletal mesh.,Use the 'Sphere Location' module.,Use the 'Point Location' module.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/niagara-modules,You can create astonishing Particle effects coming from your skeletal mesh in seconds using Niagara Particles.
03cc1035-5443-497b-bb6f-b9419b290e4a,03cc1035-5443-497b-bb6f-b9419b290e4a,English,Tech Art,True/False,Expert,"True or False: Nanite is designed to efficiently render static meshes with high polygon counts, and is not suitable for deforming skeletal meshes because it does not support skinning or animation.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,Nanite also only works with certain meshes. Nanite Does not support: Deforming/skeletal meshes.
03cd528e-a914-481c-a4c8-29f91181a464,03cd528e-a914-481c-a4c8-29f91181a464,English,Animation,Multiple Choice,Beginner,"In an Animation Blueprint, what graph is used to blend animations?",EventGraph,Construction Script,AnimGraph,Update Graph,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-blueprints-in-unreal-engine,"Graphs are edited inside of the Animation Blueprint Editor, where you can blend animation, control the bones of a Skeleton, or create logic that will define the final animation pose for a Skeletal Mesh to use per frame."
03e32e8b-6d62-4cf0-a7c2-cc5a01147fb4,03e32e8b-6d62-4cf0-a7c2-cc5a01147fb4,English,Animation,Multiple Choice,Expert,A complex character animation sequence needs to be triggered at a specific point in a cinematic. What is the most efficient way to achieve this in Sequencer?,Add an Animation Track in Sequencer and keyframe the desired animation.,Use a Level Sequence Actor to control the character's animation.,Create a new Master Sequence to manage the character's animation.,Trigger the animation directly from the Level Blueprint using a timeline.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/sequencer-cinematic-editor-unreal-engine,Sequencer gives users the ability to create in-game cinematics through its specialized multi-track editor.
03fdeb08-ccb9-43db-a8f5-47ebc4c4500e,03fdeb08-ccb9-43db-a8f5-47ebc4c4500e,English,VFX,True/False,Medium,"When using the Clothing Tool in Unreal Engine 5 to simulate cloth, is a Physics Asset *required* to be assigned to the skeletal mesh before cloth simulation can be applied?",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/cloth-simulation-in-unreal-engine,Starting point to learn about cloth simulation in Unreal Engine.
040252d3-c3b0-46bb-9cff-8bb77111d87b,040252d3-c3b0-46bb-9cff-8bb77111d87b,English,VFX,True/False,Medium,"To reliably use events in Niagara, which is the recommended setting within the Emitter Properties?",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/events-and-event-handlers-in-niagara-effects-for-unreal-engine,"In order to use events, make sure to enable Requires Persistent IDs in the Emitter Properties of your emitters."
040d5178-b5ef-4a8e-8d37-343e4a27d170,040d5178-b5ef-4a8e-8d37-343e4a27d170,English,VFX,Multiple Choice,Beginner,"Within a Control Rig graph, what is the initial action required to add a Full Body IK solver?",Add a new Skeletal Mesh component to the scene,"Right-click in the Control Rig graph, and in the context menu select Hierarchy > Full Body IK",Import a pre-existing IK rig file,Create a new Animation Blueprint and add an IK node,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-tools-in-unreal-engine,"To start, right-click in the Control Rig graph, and in the context menu select Hierarchy > Full Body IK. This will create the Full Body IK node."
041f36c7-7208-49e2-b619-625710fb9925,041f36c7-7208-49e2-b619-625710fb9925,English,Tech Art,True/False,Expert,"When rendering Nanite meshes in Unreal Engine 5, enabling the 'Two Sided' option in a material will always have a significant performance impact, regardless of the mesh's complexity.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,Nanite meshes still benefit from standard material optimizations like avoiding Two Sided materials where possible.
04462606-7a16-44cd-b681-3d1dc8a1991f,04462606-7a16-44cd-b681-3d1dc8a1991f,English,Programming,True/False,Medium,"When creating a Dedicated Server, you must compile your Unreal Engine project with the 'Shipping' configuration to exclude editor-only code and assets.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/dedicated-servers,"Dedicated servers are typically compiled with the 'Development' or 'Test' configuration, not 'Shipping'."
046ee6f2-a803-409d-8e99-037ac7db7257,046ee6f2-a803-409d-8e99-037ac7db7257,English,Game Dev,True/False,Medium,Smart Objects primarily serve as visual markers and do not contain any inherent logic or data for AI or player interactions.,TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/smart-objects-in-unreal-engine,Smart Objects are objects placed in a level that AI Agents and Players can interact with. These objects contain all the information needed for those interactions.
047ba823-b516-4f57-847c-f900a875fd4c,047ba823-b516-4f57-847c-f900a875fd4c,English,Tech Art,Multiple Choice,Intermediate,"A 500,000-triangle hero prop is imported into Unreal Engine 5 for use with Nanite. Which of the following is the MOST appropriate initial step to take?",Manually reduce the polycount to under 100k.,Import directly; Nanite handles the polycount.,Create LODs before importing.,Convert it to a displacement map.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,"Nanite is designed to handle extremely high polygon counts, so you can import high-resolution meshes directly without manual decimation."
04828cd6-4cfe-4a03-ad94-be49ff60f6c2,04828cd6-4cfe-4a03-ad94-be49ff60f6c2,English,VFX,True/False,Medium,"In Unreal Engine 5's Niagara visual effects system, are Event Handlers exclusively limited to CPU-based particle simulations?",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/creating-visual-effects-in-niagara-for-unreal-engine,"Currently, events with GPU simulations will not work. Events only work with CPU simulation."
048a9779-9a04-4b8d-ab42-e9309f24a065,048a9779-9a04-4b8d-ab42-e9309f24a065,English,Tech Art,True/False,Beginner,"In Unreal Engine 5, when utilizing Level Streaming, are all sub-levels required to be fully loaded into system RAM at the initial game startup?",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/level-streaming,Abstract base class of container object encapsulating data required for streaming and providing interface for when a level should be streamed in and out...
04cc98ce-8669-4f7d-a867-0aebf5b4d9d9,04cc98ce-8669-4f7d-a867-0aebf5b4d9d9,English,Tech Art,Multiple Choice,Intermediate,A game experiences performance issues when numerous complex particle effects are active. Which of the following is the MOST effective optimization strategy to improve performance?,Disable all post-processing.,Use particle LODs.,Force all particles to be unlit.,Reduce the global illumination quality.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/creating-visual-effects-in-niagara-for-unreal-engine,Particle LODs (Level of Detail) allow you to reduce the complexity of particle effects as they get further away from the camera. This can significantly improve performance when many particle effects are visible.
04d01bae-bdcb-4c91-afe4-1d21d9c248c3,04d01bae-bdcb-4c91-afe4-1d21d9c248c3,English,Tech Art,Multiple Choice,Medium,Your level has many identical building props. What improves rendering performance?,Use instanced static meshes.,Use dynamic shadows.,Use complex collision.,Use masked materials.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,Nanite is Unreal Engine 5's virtualized geometry system which uses a new internal mesh format and rendering technology to render pixel-scale detail and high object counts.
04d07d7c-09da-4e40-8c4d-0c0a4ef57dda,04d07d7c-09da-4e40-8c4d-0c0a4ef57dda,English,Worldbuilding,Multiple Choice,Easy,"Within the UE5 Foliage tool, which action is directly enabled by selecting the 'Paint' mode?",Automatically generate foliage based on landscape properties.,Manually place foliage instances in the level.,Edit the properties of existing foliage types.,Import new foliage assets from external sources.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/landscape-outdoor-terrain-in-unreal-engine,The Foliage tool allows you to paint instances of Static Meshes onto your Landscape.
04d5569e-b5c3-4d16-9303-dcc0d0a54116,04d5569e-b5c3-4d16-9303-dcc0d0a54116,English,Animation,True/False,Expert,"In Unreal Engine, Skeleton Notifies are stored within the Animation Sequence asset, and therefore do not require saving the Skeleton asset itself after creation.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-notifies-in-unreal-engine,"Skeleton Notifies are stored on the Skeleton Asset. Therefore, when creating them, you are also editing the Skeleton, which requires you to save it."
04f64469-7c31-4edd-bdc9-f086abb7cf0c,04f64469-7c31-4edd-bdc9-f086abb7cf0c,English,Look Dev,True/False,Medium,"When using Temporal Super Resolution (TSR), increasing the 'r.TSR.History. জিFilterWeight' console variable can reduce ghosting artifacts but may also slightly soften the overall image.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/temporal-super-resolution-in-unreal-engine,"r.TSR.History. জিFilterWeight
Defines the weight of the history জি-buffer filter. Higher values reduce ghosting artifacts, but can soften the image slightly."
051b60de-4783-486b-83f5-89ea93b106c3,051b60de-4783-486b-83f5-89ea93b106c3,English,Look Dev,Multiple Choice,Expert,Your foliage is using SimpleGrassWind. The wind looks uniform. How do you add variation?,Use a weight map to control wind influence.,Increase the Wind Speed parameter.,Disable the 'Two Sided' material option.,Adjust the 'PivotPoint' in the material.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/world-position-offset-material-functions-in-unreal-engine,"The SimpleGrassWind function applies a basic wind operator to foliage, giving the ability to specify a weight map and wind strength."
05202440-f702-4fe7-b32f-ff655965cbb0,05202440-f702-4fe7-b32f-ff655965cbb0,English,Programming,True/False,Hard,"When creating a custom **NetSerialize** function for a USTRUCT, you must manually handle endianness conversions for cross-platform compatibility, even if using the built-in `FArchive` methods.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-in-unreal-engine,The built-in FArchive methods handle endianness conversions automatically.
0551ed99-ee69-4cdc-9cab-5d8cffe9a5dc,0551ed99-ee69-4cdc-9cab-5d8cffe9a5dc,English,Programming,Multiple Choice,Medium,Your game uses a Dedicated Server. Players report inconsistent physics. What is the most likely cause?,The server's tick rate is too low.,Physics calculations are not deterministic across different hardware.,Network latency is causing desynchronization.,The client is overriding the server's physics calculations.,B,,Unreal and a lot of game engines are not deterministic. or what we call non-deterministic. game engines. so it makes things with roll back a little tricky.
055d0c00-1c55-47a2-a6f7-65a302b0238b,055d0c00-1c55-47a2-a6f7-65a302b0238b,English,Worldbuilding,Multiple Choice,Intermediate,You want to move the world origin. Which system supports this functionality?,World Partition,Level Streaming,World Composition,Data Layers,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/world-composition-in-unreal-engine,"World Composition relies on the World Origin Shifting functionality, which when combined with distance-based Level Streaming, enables you to create worlds that are not limited by the WORLD_MAX constant value hard-coded into the engine."
058294ec-687b-4a73-b47e-3a0f6dcf28b8,058294ec-687b-4a73-b47e-3a0f6dcf28b8,English,Look Dev,Multiple Choice,Easy,You need to optimize Volumetric Fog performance. Which scalability setting controls its primary GPU cost?,Anti-Aliasing Method,Shadow Quality Level,Post Processing Quality,Texture Quality,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/volumetric-fog-in-unreal-engine,"The GPU cost of Volumetric Fog is primarily controlled by the volume texture resolution, which is set from the Shadow level of the Engine Scalability."
058c57dd-257c-47fe-b874-3a2fabd29b21,058c57dd-257c-47fe-b874-3a2fabd29b21,English,VFX,True/False,Medium,"In Niagara, Event Handlers can only be used with CPU simulations, and not with GPU simulations.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/events-and-event-handlers-in-niagara-effects-for-unreal-engine,"Currently, events with GPU simulations will not work. Events only work with CPU simulation."
059a6dfd-d07c-42ee-85ba-9dfb41034776,059a6dfd-d07c-42ee-85ba-9dfb41034776,English,Programming,True/False,Medium,"In Unreal Engine, a UObject's memory is automatically managed by the garbage collector, but you must still manually release any resources it holds, such as textures or meshes, in its destructor.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/garbage-collection-in-unreal-engine,The garbage collector automatically destroys UObjects when they are no longer referenced.
05b96c3c-cf43-4f0b-b7c9-8df4f55a8c55,05b96c3c-cf43-4f0b-b7c9-8df4f55a8c55,English,Programming,Multiple Choice,Medium,You need to execute a function on multiple threads. Which approach is most suitable?,Use the `FRunnable` interface and `FRunnableThread` class.,Call `AsyncTask()` with a lambda function.,Use a `for` loop with `std::thread`.,Create a new `UObject` and call `CallFunctionByNameWithArguments()`.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/multi-threading-in-unreal-engine,The FRunnable interface and FRunnableThread class are used to create and manage threads.
05bfeb96-3506-436b-a6e2-f90d57438d52,05bfeb96-3506-436b-a6e2-f90d57438d52,English,Worldbuilding,True/False,Medium,"When creating a <b>Geometry Collection</b> from multiple <b>Static Meshes</b>, the pivot point of the resulting collection is determined by the first selected Actor.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/geometry-collections-user-guide,"When selecting multiple Static Meshes, the first selected Actor is used to create the Geometry Collection's pivot point."
05cb66b8-1a27-458a-9f4d-d7ef5a417e5e,05cb66b8-1a27-458a-9f4d-d7ef5a417e5e,English,Worldbuilding,Multiple Choice,Medium,Your level designer wants to create a river with realistic physics interactions. Which actor should they use?,Water Plane,Water Body Ocean,Water Body River,Fluid Surface,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/water-system-in-unreal-engine,"The Water system enables you to create rivers, lakes, and oceans that all interact and work together with your Landscape terrains using a spline-based workflow."
05d5e581-7bf7-4d74-afc5-9f3486753ab7,05d5e581-7bf7-4d74-afc5-9f3486753ab7,English,Animation,Multiple Choice,Expert,A character's foot IK target jitters when walking on a slightly uneven surface. What is the most likely cause?,The IK target is directly parented to the animated root bone without filtering.,The animation has foot sliding; enable 'Root Lock' in the AnimBP.,The character's collision capsule is fighting the ground.,The 'MaintainOffset' property on the IK node is disabled.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/full-body-ik,"FBIK is achieved within Control Rig by creating the FBIK node, then assigning bones and effectors to the appropriate pins."
05eca083-e55d-41c0-9425-c7d76a6ccef8,05eca083-e55d-41c0-9425-c7d76a6ccef8,English,Animation,True/False,Intermediate,Animation Montages can only play entire animation sequences and cannot be divided into dynamically playable sections.,TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-montage-in-unreal-engine,"In addition to building animations with multiple sequences, you can divide montages into Montage Sections, which can be dynamically played back in any order through logic at runtime."
0687318c-8657-49ad-a553-3e334bf9a814,0687318c-8657-49ad-a553-3e334bf9a814,English,Look Dev,Multiple Choice,Easy,You want to modify UVs in the vertex shader for performance reasons. Which material feature should you use?,TexCoord,CustomizedUVs,WorldPositionOffset,PixelDepthOffset,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/unreal-engine-material-expressions-reference,"The CustomizedUVs feature is only run in the vertex shader, and offers a performance increase over running the same calculations in the pixel shader."
06999ce5-977c-46e6-95ce-7307e9ff629e,06999ce5-977c-46e6-95ce-7307e9ff629e,English,Worldbuilding,True/False,Expert,"In Unreal Engine 5, the NavMesh can be configured to dynamically update to accommodate changes in the environment. However, this dynamic update behavior is enabled by default and automatically handles all environmental changes, such as moving actors or destructible meshes.",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/navigation-system-in-unreal-engine,"While the NavMesh can be set to dynamically update, significant changes to the environment often require manual rebuilds to ensure accurate navigation data."
06c239b8-72df-4a51-b040-cf253acfd3f0,06c239b8-72df-4a51-b040-cf253acfd3f0,English,Worldbuilding,Multiple Choice,Hard,"An AI character is experiencing issues with navigation, consistently failing to avoid obstacles and walking through walls. Which volume is primarily responsible for defining the navigable area for AI pathfinding?",BlockingVolume,NavMeshBoundsVolume,PostProcessVolume,AIObstacle,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/basic-navigation-in-unreal-engine,"In this section, you will use a Navigation Mesh Bounds Volume to specify the area in your Level where navigation needs to be generated."
06de7519-f360-41c0-ba57-46f48e9b1c6a,06de7519-f360-41c0-ba57-46f48e9b1c6a,English,Programming,Multiple Choice,Medium,A player reports their character teleports backward. What replication feature could mitigate this?,Disable network smoothing to reduce perceived latency.,Increase the network update frequency to send more frequent updates.,Implement client-side prediction and server reconciliation.,Use a higher compression ratio for network data.,C,,"Client-side prediction and server reconciliation are used to smooth over network latency and correct discrepancies between the client's predicted state and the server's actual state, reducing perceived teleportation."
06f1d90b-fa39-4612-86a8-dbaf13332c0e,06f1d90b-fa39-4612-86a8-dbaf13332c0e,English,VFX,True/False,Easy,"When configuring a Niagara emitter, is the 'Ribbon Width' parameter located within the 'Emitter Properties' section?",TRUE,FALSE,,,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/how-to-create-a-ribbon-effect-in-niagara-for-unreal-engine,"Under Ribbon Attributes, set the Ribbon Width to 10."
06f773be-d42d-4a0b-9a01-e0ba35e47ab2,06f773be-d42d-4a0b-9a01-e0ba35e47ab2,English,Game Dev,Multiple Choice,Medium,You are designing a system where the AI needs to find the best cover location. Which system is most appropriate?,Behavior Tree with a fixed patrol route.,Environment Query System (EQS),Simple collision check.,Random location generation.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/environment-query-system-in-unreal-engine,The Environment Query System (or EQS for short) is a feature within the AI Tools in Unreal Engine 5 (Unreal Engine) that can be used for collecting data about the environment.
